"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q8","Q9_First Click","Q9_Last Click","Q9_Page Submit","Q9_Click Count","Q14","Q10_First Click","Q10_Last Click","Q10_Page Submit","Q10_Click Count","Q11_First Click","Q11_Last Click","Q11_Page Submit","Q11_Click Count","Q12_First Click","Q12_Last Click","Q12_Page Submit","Q12_Click Count","V97","V98","V99","V100","where","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q2_8","Q2_9","Q2_10","Q2_11","Q2_12","Q2_13","Q2_14","Q2_15","Q2_16","Q2_17","Q2_18","Q2_19","Q2_20","Q2_21","Q4_1","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q4_14","Q4_15","Q4_16","Q4_17","Q4_18","Q4_19","Q4_20","Q5_1","Q5_2","Q5_3","Q5_4","Q5_5","Q5_6","Q5_7","Q5_8","Q5_9","Q5_10","Q5_11","Q5_12","Q5_13","Q5_14","Q5_15","Q5_16","Q5_17","Q5_18","Q5_19","Q5_20","totalbad","totalbadUP"
"2/28/18 12:05","2/28/18 12:06",0,NA,100,76,1,"2/28/18 12:06","R_ywiR9kyh2DAS72p",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,1.984,1.984,5.878,1,35,0.416,13.216,14.925,22,0.4,13.776,14.9,22,1.254,22.453,25.442,22,NA,NA,NA,NA,"mturk",4,4,2,3,5,4,4,3,3,3,4,2,5,4,2,4,4,5,2,3,1,4,2,4,2,3,4,5,3,2,2,4,5,1,4,2,3,5,5,3,4,3,4,2,3,3,2,3,5,5,4,4,5,5,4,2,3,3,4,4,4,7,3
"2/28/18 12:15","2/28/18 12:22",0,NA,100,433,1,"2/28/18 12:22","R_e420RXKbG6Otz9L",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,7.676,48.747,51.112,9,48,9.788,118.116,120.467,23,3.962,107.513,108.505,23,6.706,128.681,130.879,23,NA,NA,NA,NA,"mturk",4,1,1,1,4,1,2,4,4,1,3,1,3,1,1,1,3,1,1,5,1,4,2,2,1,4,4,2,5,4,1,1,2,4,4,4,1,2,1,2,4,2,2,3,4,1,1,1,1,1,3,1,1,1,1,4,3,4,5,1,1,3,0
"2/28/18 12:20","2/28/18 12:23",0,NA,100,174,1,"2/28/18 12:23","R_9vRF0aijnyVwBlD",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,4.435,4.435,5.958,1,23,10.919,53.339,54.993,23,3.539,40.215,41.632,21,5.453,32.527,33.624,20,NA,NA,NA,NA,"mturk",3,3,2,2,4,3,4,3,4,2,2,1,1,3,2,2,1,1,4,3,1,3,4,4,1,3,4,1,3,2,3,2,3,2,3,4,1,2,1,1,4,1,1,1,2,2,2,1,2,2,1,3,1,2,4,2,3,3,3,1,2,8,3
"2/28/18 12:22","2/28/18 12:29",0,NA,100,436,1,"2/28/18 12:29","R_1dzUBlxVcjxTPQ0",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2.674,2.674,5.045,1,28,4.002,98.726,99.999,27,25.34,219.322,220.438,25,4.391,87.989,91.789,20,NA,NA,NA,NA,"mturk",1,3,3,3,4,2,4,3,3,3,3,1,1,3,3,3,1,2,3,3,1,4,3,4,3,3,3,2,1,3,3,1,4,3,3,3,1,1,1,1,4,1,1,1,3,1,1,3,3,3,1,3,1,2,3,3,3,1,1,2,4,3,0
"2/28/18 12:26","2/28/18 12:32",0,NA,100,396,1,"2/28/18 12:32","R_2qecHD9t8RfXvIa",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,74.464,76.891,78.916,4,21,2.801,37.163,38.674,27,2.118,32.811,34.78,27,7.399,217.218,218.49,27,NA,NA,NA,NA,"mturk",3,5,4,4,4,3,4,4,4,3,4,5,4,5,3,4,4,3,5,4,1,4,5,4,3,5,4,4,3,4,5,4,3,4,4,4,3,4,4,3,4,4,3,3,4,3,3,4,4,3,4,3,4,3,3,4,3,4,4,4,4,3,2
"2/28/18 12:40","2/28/18 12:44",0,NA,100,244,1,"2/28/18 12:44","R_2TviMp9MBzhQiLQ",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,3.167,3.167,4.827,1,23,3.089,58.393,59.694,23,3.662,64.665,66.41,23,2.793,81.741,82.964,26,NA,NA,NA,NA,"mturk",4,4,4,4,5,4,4,5,4,3,3,4,3,3,4,4,4,4,5,5,1,4,4,5,4,4,4,1,4,4,4,2,5,3,3,4,3,4,1,4,4,5,3,3,4,2,3,4,4,4,3,4,2,4,3,4,3,4,4,4,2,5,2
"2/28/18 13:37","2/28/18 13:38",0,NA,100,100,1,"2/28/18 13:38","R_zd0IWvca7aEAQUx",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,3.217,6.893,7.755,7,35,5.797,26.719,31.113,58,0.68,22.937,23.647,53,0.791,20.059,20.726,53,NA,NA,NA,NA,"mturk",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,3
"2/28/18 13:37","2/28/18 13:41",0,NA,100,261,1,"2/28/18 13:41","R_eb109CaBxZN6cOl",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,13.629,13.629,16.577,1,39,4.285,70.958,73.449,25,3.723,74.451,76.745,20,4.311,67.489,68.674,21,NA,NA,NA,NA,"mturk",5,4,4,5,5,5,4,4,3,2,2,5,4,4,3,5,5,5,5,5,1,3,5,5,3,5,5,4,5,4,1,1,5,4,5,5,1,5,1,5,4,5,5,5,5,5,1,3,4,3,5,1,3,5,1,5,3,5,5,5,5,6,2
"2/28/18 13:36","2/28/18 13:41",0,NA,100,274,1,"2/28/18 13:41","R_Cm3xW8pmNXe4eeB",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,3.416,24.968,26.894,3,33,4.993,88.046,89.332,23,4.754,69.631,71.027,23,1.894,62.447,63.599,23,NA,NA,NA,NA,"mturk",5,4,4,5,4,4,5,4,4,2,4,5,2,3,4,5,4,4,5,4,1,4,4,5,4,2,4,1,1,4,2,1,4,4,5,4,1,1,1,5,4,5,4,4,2,5,1,1,2,3,5,2,1,3,2,5,3,4,4,4,4,6,2
"2/28/18 13:37","2/28/18 13:42",0,NA,100,302,1,"2/28/18 13:42","R_2OTNFC52xp00cCm",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,7.267,7.267,10.569,1,39,4.849,81.337,83.278,24,3.681,80.799,83.219,29,10.261,92.702,102.745,27,NA,NA,NA,NA,"mturk",1,1,1,1,1,1,3,2,2,1,4,4,1,1,4,2,4,3,1,2,1,2,1,1,4,1,1,1,1,1,1,2,5,4,3,2,1,4,1,4,4,2,4,2,4,5,1,1,1,1,4,5,4,1,3,2,3,1,3,1,4,5,0
