"badChar","badClick","badDist","badScaleCheck","badMC","badTotal","participant"
1,0,0,1,0,2,"R_ywiR9kyh2DAS72p"
0,0,0,1,0,1,"R_e420RXKbG6Otz9L"
1,0,0,1,0,2,"R_9vRF0aijnyVwBlD"
0,0,0,1,0,1,"R_1dzUBlxVcjxTPQ0"
1,0,0,1,0,2,"R_2qecHD9t8RfXvIa"
1,0,0,1,0,2,"R_2TviMp9MBzhQiLQ"
1,0,0,0,0,1,"R_zd0IWvca7aEAQUx"
1,0,0,1,0,2,"R_eb109CaBxZN6cOl"
0,0,0,1,0,1,"R_Cm3xW8pmNXe4eeB"
0,0,0,1,0,1,"R_2OTNFC52xp00cCm"
0,0,0,1,0,1,"R_2w0GkMhmVpKOHUn"
0,1,0,1,1,3,"R_vUcwIwX2PLp8v73"
0,0,1,1,0,2,"R_uxgCouTyEmNxtvz"
1,1,0,0,0,2,"R_VIFlrPWFJT4fPc5"
1,1,0,0,0,2,"R_3F57rFZHD2WljoP"
1,0,0,1,0,2,"R_22RB00GNElrCcSD"
0,0,0,1,0,1,"R_3GAPHEsdxmPULai"
1,0,1,1,0,3,"R_3LdVBiLGSn3iUW2"
1,0,0,0,0,1,"R_1jCeRZoSV8M54B0"
1,1,0,1,0,3,"R_339LQFwCPEGKWmI"
1,0,0,1,0,2,"R_2CH8T3itAw8M1ND"
0,0,0,1,0,1,"R_1f6MVLsViM9hpwb"
1,0,1,1,0,3,"R_3p3AT9p3M7jagcQ"
1,0,0,1,1,3,"R_3LZTOALYj3rj8UE"
1,0,0,1,0,2,"R_D2UuGjMlNqdJYmR"
1,0,0,1,0,2,"R_xtkXFrd8RPH0vdL"
1,0,0,0,0,1,"R_BtczKn8HO3QaMcF"
1,1,0,0,0,2,"R_3EiP7qToWtEloJV"
0,0,0,1,0,1,"R_r2UB8zwFqkjLMGZ"
1,0,0,1,0,2,"R_2qlcpyFZ8QHpFUH"
0,0,1,1,0,2,"R_SPiqNcBKDKhkH5f"
1,0,0,0,0,1,"R_3k5tgsT6NzObKtb"
0,0,0,1,0,1,"R_1MQI84oqcikIDWV"
0,0,1,1,0,2,"R_1JOUB6NlVg3ZwN2"
0,0,0,1,0,1,"R_2e3cuPX9oDs3RCx"
1,0,0,1,0,2,"R_1I3E4CrtUw6r3rt"
1,0,0,1,0,2,"R_yND2wCrbLXXTOEh"
1,0,0,1,0,2,"R_2fvou4VLDREQkh7"
0,0,0,1,0,1,"R_23TsAS2fGjOshC9"
1,0,0,1,0,2,"R_1OJKnxEalkYJ0eK"
1,0,0,1,0,2,"R_1qe748wpdnJJtvy"
0,0,1,1,0,2,"R_DpLdDA0WpJTr4pb"
0,0,0,1,0,1,"R_2zUB1j5PPaaXZ7I"
0,0,0,1,0,1,"R_2Vm3fQtG8xnAgFa"
0,0,1,1,0,2,"R_2OMRfeHEyKlpFh3"
1,0,1,1,0,3,"R_1K9ZqwbCU6XoRLr"
1,0,0,0,0,1,"R_2PbSwWwr1OxpLOY"
1,0,0,1,0,2,"R_2SkrJsYvH2UgpmA"
0,0,1,1,0,2,"R_3QDdXQPaBEZzIBB"
0,0,0,1,1,2,"R_2TsBOOQe4L8SMwy"
1,0,1,1,0,3,"R_qRBt70dQv2UzuRH"
1,0,0,0,1,2,"R_1QbDo0EDEdPf6n5"
1,0,0,1,0,2,"R_WiYGS5sd0xtgOop"
1,0,0,1,0,2,"R_2wdjxLB7uxKOVmW"
0,0,0,1,0,1,"R_ai0x0jYfcb0RvXz"
1,0,0,1,0,2,"R_4JGMQUWsJpgrlQJ"
0,0,0,1,0,1,"R_3PZzW7H9sguldrb"
0,0,0,1,0,1,"R_73QlplIdef68Qud"
0,0,0,1,0,1,"R_tSN94vv4nMhU0KJ"
1,0,1,1,0,3,"R_11WSPpUoAvFUODt"
