"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q8","Q9_First Click","Q9_Last Click","Q9_Page Submit","Q9_Click Count","Q13","Q10_First Click","Q10_Last Click","Q10_Page Submit","Q10_Click Count","Q11_First Click","Q11_Last Click","Q11_Page Submit","Q11_Click Count","Q12_First Click","Q12_Last Click","Q12_Page Submit","Q12_Click Count","id","where","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q2_8","Q2_9","Q2_10","Q2_11","Q2_12","Q2_13","Q2_14","Q2_15","Q2_16","Q2_17","Q2_18","Q2_19","Q2_20","Q2_21","Q4_1","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q4_14","Q4_15","Q4_16","Q4_17","Q4_18","Q4_19","Q4_20","Q5_1","Q5_2","Q5_3","Q5_4","Q5_5","Q5_6","Q5_7","Q5_8","Q5_9","Q5_10","Q5_11","Q5_12","Q5_13","Q5_14","Q5_15","Q5_16","Q5_17","Q5_18","Q5_19","Q5_20","totalbad","totalbadUP"
"2/12/18 22:04","2/12/18 22:10",0,NA,100,333,1,"2/12/18 22:10","R_3EzEAxjMSBviXsy",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,4.739,4.739,9.271,1,"",14.939,98.206,99.673,22,10.084,91.867,93.436,20,27.702,123.952,126.149,22,NA,"sona",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,1,1,5,4,3,2,1,5,5,5,5,5,5,5,1,1,5,5,5,3,5,5,5,5,1,0
"2/13/18 4:50","2/13/18 4:54",0,NA,100,243,1,"2/13/18 4:54","R_1hRpJyy5oGNu1mj",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,3.686,18.044,20.509,7,"",6.413,76.009,77.69,23,4.572,71.959,73.972,20,2.578,65.67,67.72,20,NA,"sona",3,3,3,3,3,2,4,4,4,4,4,3,3,3,3,3,4,4,4,4,1,4,3,5,3,3,4,2,1,5,4,3,5,5,4,4,1,4,1,3,2,3,4,4,3,5,2,3,3,3,4,4,1,3,5,5,3,2,2,4,4,6,3
"2/13/18 11:44","2/13/18 11:55",0,NA,100,654,1,"2/13/18 11:55","R_zYfh6KfP7WOwnER",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,37.638,37.638,77.243,1,"",28.451,142.673,145.294,22,15.03,287.662,288.201,26,15.411,138.977,140.234,23,NA,"sona",5,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,5,5,5,4,1,4,5,4,4,5,5,4,1,4,4,1,1,5,4,4,5,4,1,5,4,5,5,5,4,3,4,4,5,3,5,5,3,4,4,5,3,5,5,4,4,1,0
"2/13/18 12:31","2/13/18 12:39",0,NA,100,443,1,"2/13/18 12:39","R_3J3pAkU1E3JvZAD",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,3.951,3.951,14.893,1,"",6.488,143.029,144.564,26,6.894,156.76,158.83,20,12.606,118.411,119.972,22,NA,"sona",4,3,3,4,5,5,5,5,5,3,3,4,4,3,3,3,4,4,4,3,1,4,4,5,3,4,4,1,3,4,3,2,5,5,3,5,3,3,2,5,4,4,4,3,3,3,3,3,4,4,3,3,2,3,4,4,3,3,3,4,3,2,0
"2/13/18 12:34","2/13/18 12:40",0,NA,100,350,1,"2/13/18 12:40","R_2bUUeb8hZtmkSOo",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,3.646,3.646,7.649,1,"",3.477,105.626,107.111,24,6.112,92.155,93.276,21,5.004,133.521,137.906,23,NA,"sona",3,4,4,4,5,5,4,4,4,1,4,5,1,3,5,3,4,5,5,4,1,4,4,4,4,1,4,1,1,3,4,1,5,5,5,5,2,1,1,5,4,5,5,5,4,2,4,4,4,3,5,4,1,3,3,4,3,3,3,3,4,5,0
"2/13/18 13:14","2/13/18 13:25",0,NA,100,666,1,"2/13/18 13:25","R_UT0DrtLFWOilDeF",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,307.612,322.26,324.85,9,"",4.19,100.967,102.063,21,7.352,106.104,106.956,21,4.699,127.069,128.083,20,NA,"sona",5,4,4,4,5,5,5,5,5,2,5,2,2,4,5,5,4,4,5,5,1,5,5,5,5,5,4,1,5,5,3,1,2,4,4,5,2,4,2,4,4,3,4,2,5,2,3,5,4,5,1,5,1,4,4,4,3,5,5,4,2,5,0
"2/13/18 15:01","2/13/18 15:07",0,NA,100,332,1,"2/13/18 15:07","R_2mDWV6GANG5Oc5X",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2.062,2.062,4.338,1,"",6.238,109.968,112.009,21,4.956,116.25,117.975,20,7.324,91.92,94.447,21,NA,"sona",3,3,3,3,4,4,4,3,3,2,4,4,3,2,3,4,4,3,4,4,1,2,4,4,3,3,4,2,3,3,2,1,4,4,3,4,1,2,1,4,4,3,4,4,4,2,3,4,3,4,4,3,1,3,4,3,3,4,5,3,4,4,0
"2/13/18 15:17","2/13/18 15:25",0,NA,100,490,1,"2/13/18 15:25","R_2rOWgrO7fJaCvwB",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,57.34,57.764,60.778,2,"",8.703,158.947,163.078,22,9.353,111.652,140.398,23,16.71,119.913,122.21,21,NA,"sona",4,3,4,4,5,3,4,4,4,2,5,5,1,2,5,4,4,5,4,3,1,4,4,5,3,2,4,1,2,3,2,1,5,5,5,2,3,2,1,5,4,5,5,5,4,4,5,3,2,2,3,3,1,3,4,4,3,4,4,3,5,5,0
"2/13/18 15:37","2/13/18 15:44",0,NA,100,463,1,"2/13/18 15:44","R_W6GCMhnRsCnHoK5",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,16.797,16.797,23.631,1,"",28.689,179.498,180.885,26,20.043,152.423,153.905,22,3.649,96.765,98.445,22,NA,"sona",4,5,4,5,5,5,5,4,4,2,4,5,1,4,5,4,5,5,5,5,1,4,4,5,4,4,4,2,3,4,4,1,4,4,5,5,4,3,1,5,4,5,5,5,4,5,3,4,4,5,3,1,4,4,4,4,3,5,4,5,4,3,0
"2/13/18 16:30","2/13/18 16:37",0,NA,100,394,1,"2/13/18 16:37","R_W2Ibrg4EuH3fpcZ",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,7.273,34.836,36.794,4,"",4.469,125.255,126.515,26,4.04,120.248,121.493,26,1.502,99.25,100.42,23,NA,"sona",3,3,4,4,4,2,4,5,5,4,3,3,1,2,4,4,3,3,3,4,1,4,4,3,4,3,5,1,2,3,2,1,3,4,3,5,3,3,1,3,4,3,3,2,4,2,3,3,2,4,3,4,2,2,4,4,3,3,3,3,2,2,0
"2/14/18 11:06","2/14/18 11:13",0,NA,100,425,1,"2/14/18 11:13","R_6y4IceOu0q5IT3r",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,21.38,21.38,24.77,1,"",7.112,113.678,117.206,22,6.426,141.631,143.538,22,10.319,132.519,134.324,21,NA,"sona",4,3,3,3,5,3,4,4,4,1,3,3,3,3,3,3,3,2,4,4,1,4,1,3,1,2,4,1,3,4,3,2,2,5,4,5,3,4,1,4,4,2,2,4,4,2,3,3,3,3,4,2,2,4,4,4,3,5,3,4,3,3,0
"2/14/18 11:46","2/14/18 11:53",0,NA,100,390,1,"2/14/18 11:53","R_OIlhZJ1MUtv1yPT",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2.672,5.94,9.618,4,"",1.425,206.036,206.352,60,3.284,78.859,79.903,49,3.115,88.801,90.322,51,NA,"sona",3,5,4,5,5,3,5,4,4,5,4,5,1,4,5,5,5,5,5,5,1,4,5,5,4,5,5,1,3,5,3,4,5,5,5,5,2,2,1,5,4,5,5,4,5,4,3,4,3,5,5,5,1,3,3,4,3,4,3,5,4,5,0
"2/14/18 12:37","2/14/18 12:43",0,NA,100,348,1,"2/14/18 12:43","R_3n3gIsjXY35MzyQ",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,36.342,36.342,43.462,1,"",2.733,103.654,105.42,27,8.841,107.352,108.815,20,5.016,84.248,87.502,21,NA,"sona",1,3,5,5,3,1,3,4,4,5,5,5,1,3,5,5,5,5,3,4,2,4,4,4,4,3,3,1,1,4,3,1,3,5,5,3,1,5,1,5,4,5,5,5,5,5,5,5,3,5,5,1,1,3,2,2,3,3,4,5,5,4,1
"2/14/18 16:32","2/14/18 16:50",0,NA,100,1022,1,"2/14/18 16:50","R_3fmHAwnP0cpA83n",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,116.394,116.394,122.455,1,"",20.792,403.937,407.198,32,2.235,256.44,257.799,29,5.316,228.675,231.159,32,NA,"sona",2,4,4,5,5,2,4,4,2,1,3,5,1,4,5,5,5,5,2,2,1,4,4,4,4,2,4,1,1,4,4,2,5,5,5,4,2,3,3,5,4,5,5,5,5,2,3,2,3,4,5,2,1,2,4,4,3,4,5,5,4,5,0
"2/14/18 22:27","2/14/18 22:33",0,NA,100,349,1,"2/14/18 22:33","R_3qldKLzR8rEUz58",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,20.007,25.289,29.826,2,"",5.356,109.678,112.402,21,10.63,91.715,94.265,20,13.023,105.267,107.385,20,NA,"sona",4,3,4,4,4,4,4,4,4,2,5,5,1,2,4,4,5,4,3,4,1,3,4,4,4,3,4,2,3,3,2,1,4,5,4,3,2,5,1,5,4,5,5,4,4,4,3,3,2,4,5,4,1,3,2,4,3,4,3,4,3,3,0
"2/15/18 9:49","2/15/18 9:57",0,NA,100,508,1,"2/15/18 9:57","R_5cg7YIPSDscISkh",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,10.831,10.831,14.17,1,"",13.292,145.982,147.028,22,9.431,192.904,194.186,24,7.965,147.369,148.96,21,NA,"sona",4,5,3,5,5,2,5,5,5,3,2,1,1,3,4,5,4,3,5,3,1,4,5,5,3,5,3,1,1,5,3,5,5,4,3,5,3,1,1,3,4,2,4,2,2,2,5,4,4,4,2,5,3,5,3,3,3,5,5,3,1,6,0
"2/15/18 11:42","2/15/18 11:49",0,NA,100,422,1,"2/15/18 11:49","R_12Kk6m92Qq2JXzU",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,5.641,7.898,10.347,2,"",4.579,105.158,107.547,25,2.449,66.973,68.207,24,57.399,230.025,231.379,24,NA,"sona",3,4,5,5,5,2,5,4,5,2,4,2,2,3,5,4,3,5,4,4,1,5,4,5,5,3,5,2,5,5,3,3,4,4,3,4,2,4,3,2,4,2,3,2,4,2,3,3,5,4,4,2,3,5,4,5,3,3,4,4,2,5,1
"2/15/18 15:34","2/15/18 15:40",0,NA,100,345,1,"2/15/18 15:40","R_24bXj3oMaunoUV8",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,12.917,12.917,19.81,1,"",7.019,90.793,92.468,22,5.987,113.472,114.8,20,4.997,111.328,113.21,20,NA,"sona",2,1,1,1,3,1,4,4,1,1,4,4,3,1,1,1,4,4,4,1,1,4,1,4,1,1,2,1,1,1,4,3,4,1,4,1,1,1,1,4,4,1,4,4,1,1,1,1,1,1,3,4,1,1,4,1,3,3,1,1,2,3,0
"2/16/18 10:54","2/16/18 11:00",0,NA,100,325,1,"2/16/18 11:00","R_2fqZR1CNlJS3Ygf",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,1.7,31.082,32.001,11,"",5.445,89.39,90.307,79,3.271,102.122,103.317,78,3.151,90.844,91.971,70,NA,"sona",3,5,5,5,5,5,5,5,5,1,4,5,1,5,5,5,5,5,4,5,1,5,2,2,4,2,4,2,1,5,2,1,5,5,5,5,2,5,1,5,4,5,5,5,5,4,5,4,5,5,5,3,1,5,2,1,3,5,5,5,5,4,0
"2/16/18 19:42","2/16/18 19:51",0,NA,100,567,1,"2/16/18 19:51","R_3Pnanbk2RXf8TUy",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,21.673,44.909,48.722,7,"",29.173,157.616,157.632,49,40.512,244.455,246.241,40,12.644,109.011,110.662,47,NA,"sona",4,3,5,4,5,4,5,5,5,2,5,5,2,2,5,5,5,4,5,4,1,5,5,5,3,4,5,1,3,5,3,2,5,4,5,5,2,3,1,5,4,5,5,4,5,2,3,3,3,5,5,4,1,4,3,5,3,4,3,4,5,5,0
"2/17/18 15:38","2/17/18 15:46",0,NA,100,482,1,"2/17/18 15:46","R_3R9Js1h9Bh3bSkf",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2.972,9.241,16.37,4,"",3.774,145.193,146.663,28,11.879,159.069,161.1,28,2.443,141.419,143.294,24,NA,"sona",5,2,2,2,5,5,5,4,4,3,4,4,1,1,2,2,4,3,4,4,1,5,5,5,3,4,5,2,5,5,3,4,5,4,5,4,3,3,3,4,4,3,4,3,4,4,3,2,3,4,4,2,2,5,5,5,3,5,5,3,5,4,0
"2/19/18 10:33","2/19/18 10:47",0,NA,100,832,1,"2/19/18 10:47","R_3oMag9zHRWjcWwS",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,278.308,372.577,374.845,2,"",7.49,195.942,202.363,22,3.653,123.781,128.008,22,5.172,112.295,115.258,20,NA,"sona",3,2,3,3,2,2,4,4,4,2,3,5,1,2,4,3,5,5,4,3,1,3,5,4,4,4,5,1,5,3,2,3,4,4,5,4,2,5,1,5,4,4,5,3,5,2,3,3,2,4,5,4,4,3,3,4,3,4,5,4,2,5,0
"2/19/18 13:23","2/19/18 13:32",0,NA,100,514,1,"2/19/18 13:32","R_12omhXLxQDFcy8V",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2.948,2.948,5.62,1,"",7.943,59.826,66.94,23,6.465,26.404,27.99,22,13.555,407.293,410.65,23,NA,"sona",3,3,3,4,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,4,1,4,4,3,4,3,2,2,3,3,3,3,3,3,3,4,4,2
"2/19/18 15:42","2/19/18 15:48",0,NA,100,333,1,"2/19/18 15:48","R_UndxVk8L6Twayxb",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,5.351,5.351,7.625,1,"",9.645,110.62,111.992,25,3.397,103.856,105.113,23,2.814,103.254,104.809,24,NA,"sona",5,2,2,3,3,5,5,5,5,3,5,5,4,3,1,4,5,5,5,4,5,4,1,5,4,1,5,1,1,5,1,1,5,5,5,5,3,1,1,5,4,5,5,3,5,5,5,3,5,1,3,3,1,5,3,5,3,5,4,3,1,5,1
"2/19/18 17:01","2/19/18 17:04",0,NA,100,227,1,"2/19/18 17:04","R_12nwYQWgY7AQhsN",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,19.851,19.851,22.086,1,"",8.372,61.847,63.673,21,6.013,62.497,64.615,19,14.55,71.755,73.569,20,NA,"sona",3,4,3,4,5,4,4,4,4,2,4,4,1,3,4,4,4,4,4,4,1,4,4,4,4,3,4,2,3,4,4,1,3,2,4,4,2,1,1,4,4,4,4,4,4,2,3,4,4,4,4,4,1,4,4,4,3,4,5,4,2,6,3
"2/19/18 23:51","2/19/18 23:58",0,NA,100,409,1,"2/19/18 23:58","R_XmKqaQCtETeHV9D",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,6.363,6.363,13.581,1,"",16.562,118.172,119.377,21,12.859,151.746,153.423,23,9.133,115.954,119.209,24,NA,"sona",5,4,4,5,5,4,5,4,4,2,4,4,1,4,5,5,4,4,5,4,1,4,5,5,4,5,5,2,4,5,3,4,5,3,4,5,2,5,5,4,4,3,4,2,5,1,3,4,3,5,4,5,4,3,3,4,3,5,4,4,2,4,0
"2/20/18 11:00","2/20/18 11:05",0,NA,100,317,1,"2/20/18 11:05","R_DrfiQVJkeYosDpn",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,1.422,6.2,7.06,8,"",1.93,89.154,90.595,66,7.205,116.622,119.636,74,3.598,94.243,95.269,75,NA,"sona",4,4,3,5,5,5,4,4,4,2,4,4,2,3,5,4,5,2,4,4,1,4,3,5,4,2,4,1,5,5,3,1,4,4,1,4,4,2,1,3,4,1,1,2,4,1,4,4,4,3,4,5,2,5,3,4,3,5,4,4,1,3,0
"2/20/18 12:45","2/20/18 12:52",0,NA,100,412,1,"2/20/18 12:52","R_3HwgRBbwOP8jhiY",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,18.478,20.327,37.541,2,"",18.408,134.738,138.193,24,17.027,108.385,109.813,20,2.324,118.849,122.229,22,NA,"sona",3,3,4,4,4,2,3,4,4,3,1,5,1,3,3,4,5,3,4,3,1,3,3,5,3,3,3,1,2,3,2,1,3,4,4,5,3,1,1,5,4,5,5,4,4,4,3,3,5,4,3,3,2,3,3,4,3,4,5,4,3,4,0
"2/20/18 13:04","2/20/18 13:09",0,NA,100,316,1,"2/20/18 13:09","R_3JzqeeGNFdH41CB",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2.675,6.453,7.07,5,"",8.372,105.246,106.413,46,5.763,100.211,101.225,41,3.172,96.203,97.402,45,NA,"sona",1,3,4,5,5,4,5,5,4,4,5,3,3,4,5,5,5,5,5,4,1,4,5,5,3,3,5,1,2,4,2,1,5,3,3,5,3,2,1,3,4,3,4,3,5,3,2,3,3,4,3,1,1,1,5,4,3,5,5,3,5,4,0
"2/20/18 15:34","2/20/18 15:40",0,NA,100,351,1,"2/20/18 15:40","R_1rNZurXQqf0YJoZ",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,4.202,24.317,27.158,2,"",1.902,84.163,85.213,54,4.025,110.389,111.597,48,7.635,122.321,123.887,23,NA,"sona",2,3,3,3,2,4,3,4,4,3,4,4,1,3,3,3,4,4,4,3,5,4,3,2,3,3,4,1,3,4,3,2,4,4,4,4,3,4,2,5,4,4,4,2,4,2,3,3,4,3,5,2,2,3,2,3,3,3,3,3,2,4,1
"2/20/18 20:51","2/20/18 20:57",0,NA,100,372,1,"2/20/18 20:57","R_3qKGW3Xn8c49vJU",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2.79,2.79,4.253,1,"",0.066,168.938,170.461,30,9.543,91.519,92.705,21,4.382,98.39,99.752,26,NA,"sona",1,3,4,4,5,2,4,4,4,2,1,1,2,4,4,4,1,1,2,4,1,4,3,5,2,2,2,1,3,3,2,4,5,3,2,4,3,1,1,1,4,1,1,4,3,2,2,3,2,4,1,4,1,3,1,2,3,3,3,4,2,4,0
"2/20/18 22:04","2/20/18 22:13",0,NA,100,520,1,"2/20/18 22:13","R_3s1j2XK5qkRxwHy",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,57.95,57.95,109.501,1,"",8.486,126.326,130.061,23,9.201,122.536,126.102,21,10.386,146.765,149.502,23,NA,"sona",1,1,1,1,3,1,4,3,2,5,5,5,1,1,1,1,5,3,5,4,1,3,3,3,1,1,4,1,1,1,1,1,3,5,5,3,1,5,1,5,4,5,5,5,4,3,3,1,1,3,3,4,1,1,2,2,3,3,1,3,3,4,0
"2/21/18 10:59","2/21/18 11:09",0,NA,100,592,1,"2/21/18 11:09","R_1QospU5rUTvujUK",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,23.381,34.164,37.385,3,"",24.52,148.319,152.038,31,12.483,152.672,153.899,29,56.754,242.02,244.033,31,NA,"sona",3,3,4,4,4,4,5,5,4,4,4,5,1,4,5,4,5,4,5,3,1,5,4,5,4,4,5,2,4,4,4,1,5,5,5,5,3,3,3,5,4,5,5,5,4,4,4,3,4,4,5,3,3,4,4,5,3,4,3,5,4,3,0
"2/21/18 11:38","2/21/18 11:43",0,NA,100,316,1,"2/21/18 11:43","R_6y4JfVwPXou2ys1",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2.8,40.088,42.903,3,"",4.691,80.459,81.653,23,5.334,75.693,77.889,22,1.609,106.373,108.634,24,NA,"sona",1,1,2,2,1,2,4,4,4,1,4,4,4,2,4,2,4,4,5,5,1,2,4,2,4,1,5,1,1,4,1,4,5,4,4,4,1,4,1,5,4,5,4,1,4,1,2,2,1,2,4,5,1,4,2,4,3,1,5,2,1,4,0
"2/21/18 11:52","2/21/18 11:59",0,NA,100,389,1,"2/21/18 11:59","R_3lrHJ2sF1eqdI1W",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,20.59,20.59,27.862,1,"",34.452,130.544,132.043,24,8.351,113.484,116.6,23,10.051,107.277,108.865,20,NA,"sona",3,2,5,2,4,4,4,4,5,2,2,5,2,4,2,2,4,3,4,4,5,4,3,4,5,3,5,1,1,3,2,2,2,3,5,3,4,2,3,5,4,5,4,5,3,1,3,3,2,3,2,4,4,2,4,4,3,5,5,1,3,7,1
