"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q8","Q9_First Click","Q9_Last Click","Q9_Page Submit","Q9_Click Count","Q13","Q10_First Click","Q10_Last Click","Q10_Page Submit","Q10_Click Count","Q11_First Click","Q11_Last Click","Q11_Page Submit","Q11_Click Count","Q12_First Click","Q12_Last Click","Q12_Page Submit","Q12_Click Count","id","where","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q2_8","Q2_9","Q2_10","Q2_11","Q2_12","Q2_13","Q2_14","Q2_15","Q2_16","Q2_17","Q2_18","Q2_19","Q2_20","Q2_21","Q4_1","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q4_14","Q4_15","Q4_16","Q4_17","Q4_18","Q4_19","Q4_20","Q5_1","Q5_2","Q5_3","Q5_4","Q5_5","Q5_6","Q5_7","Q5_8","Q5_9","Q5_10","Q5_11","Q5_12","Q5_13","Q5_14","Q5_15","Q5_16","Q5_17","Q5_18","Q5_19","Q5_20","totalbad","totalbadUP"
"2/12/18 11:12","2/12/18 11:19",0,NA,100,419,1,"2/12/18 11:19","R_3qUuayE6b34VMvS",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,69.382,74.039,77.955,2,"",4.196,91.192,92.587,23,17.107,132.313,133.769,23,16.715,106.04,107.654,23,NA,"sona",3,2,2,2,4,2,4,4,4,2,2,3,3,2,2,3,4,3,4,4,1,4,4,4,4,2,4,3,1,4,2,2,5,2,4,4,2,2,3,4,4,5,4,2,3,2,2,2,3,4,4,5,1,2,2,4,3,4,4,4,1,3,0
"2/12/18 12:58","2/12/18 13:01",0,NA,100,210,1,"2/12/18 13:01","R_2UhzJI8Hp0z2zC2",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2.365,2.365,3.907,1,"",3.596,64.579,66.295,21,12.932,72.232,73.455,22,6.711,61.943,63.496,20,NA,"sona",4,4,5,4,5,4,4,5,5,4,4,2,2,4,5,4,2,2,5,5,1,4,4,3,2,2,4,1,1,4,3,2,2,4,2,4,4,2,2,2,1,3,4,4,4,4,4,3,3,4,4,4,2,3,4,2,3,4,4,4,4,6,3
"2/12/18 13:39","2/12/18 13:46",0,NA,100,439,1,"2/12/18 13:46","R_2wuWQmlSOmuAlnb",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,65.052,65.052,67.651,1,"",4.993,99.93,102.299,23,9.376,152.958,154.428,23,4.78,108.195,110.137,20,NA,"sona",4,5,4,5,5,2,5,4,4,2,5,5,2,2,4,4,5,5,5,4,1,5,4,5,4,3,4,1,1,4,2,1,4,5,5,5,1,4,1,5,4,5,5,5,4,4,3,2,3,4,5,4,1,3,2,4,3,4,3,5,2,5,0
"2/12/18 14:01","2/12/18 14:08",0,NA,100,405,1,"2/12/18 14:08","R_0iwdChet2Vr5eMx",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,7.661,7.661,12.024,1,"",10.857,118.913,125.059,21,3.782,140.854,142.741,26,17.492,104.373,107.122,26,NA,"sona",3,4,3,4,4,3,4,4,3,4,3,4,3,3,3,4,3,3,4,4,1,3,4,4,3,3,4,2,3,3,3,3,3,3,3,4,2,3,2,3,4,4,3,3,3,3,3,4,3,4,3,4,2,3,3,4,3,4,4,3,4,0,0
"2/12/18 14:05","2/12/18 14:17",0,NA,100,718,1,"2/12/18 14:17","R_3iLs5XpUV3Ijdtm",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,5.526,9.62,40.726,3,"",49.675,297.851,299.541,23,1.266,147.045,148.419,48,1.768,224.254,225.387,34,NA,"sona",2,2,4,2,4,2,4,4,4,3,5,5,1,2,4,4,5,5,5,4,1,4,4,4,4,2,4,2,1,2,2,1,4,1,5,5,1,3,1,5,4,5,5,5,4,3,2,3,2,2,1,2,1,2,1,2,3,2,3,4,5,4,0
"2/12/18 14:16","2/12/18 14:22",0,NA,100,361,1,"2/12/18 14:22","R_1rc91hReNPsuh2W",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,1.486,3.743,3.795,4,"",5.346,172.761,176.783,55,5.142,85.413,86.821,47,13.876,89.586,90.447,45,NA,"sona",4,3,4,3,5,4,3,5,5,3,2,2,1,2,4,3,2,4,5,3,1,3,3,4,3,4,4,1,3,3,2,2,5,2,3,5,2,3,1,2,4,2,3,4,4,3,3,3,3,4,2,5,1,4,3,5,3,4,5,3,2,4,0
"2/12/18 14:31","2/12/18 14:36",0,NA,100,315,1,"2/12/18 14:36","R_1riAV6LMYeLdIQL",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,5.785,5.785,13.853,1,"",5.654,98.136,99.49,21,5.846,107.109,108.419,22,6.616,88.209,90.544,20,NA,"sona",5,4,5,4,5,5,3,5,5,2,5,5,2,3,3,3,4,1,5,4,1,4,3,4,3,2,2,1,1,5,4,1,1,2,3,5,3,4,1,5,4,4,2,4,2,1,3,5,4,5,5,1,3,5,2,5,3,5,3,4,2,6,0
"2/12/18 16:48","2/12/18 16:58",0,NA,100,569,1,"2/12/18 16:58","R_2uKfXM9g1Ga9cFs",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,38.143,38.143,41.194,1,"",4.444,105.212,107.419,22,152.569,296.098,298.448,23,5.28,113.696,115.92,21,NA,"sona",4,2,4,4,4,2,4,5,5,1,4,4,4,2,4,4,5,5,5,4,1,4,4,4,2,1,5,1,3,2,1,1,4,5,4,4,1,2,1,4,4,4,4,5,4,4,2,2,2,4,4,1,1,2,4,4,3,5,3,4,5,4,0
"2/12/18 19:51","2/12/18 20:00",0,NA,100,593,1,"2/12/18 20:00","R_1hA6bSZgk1qNZSm",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,23.411,156.95,159.255,2,"",6.388,82.807,83.768,21,5.248,226.228,228.568,23,4.543,115.892,116.725,23,NA,"sona",4,4,3,4,4,4,4,4,4,2,4,3,3,4,4,4,3,3,3,4,1,3,3,4,3,4,4,1,3,3,3,1,4,4,4,5,2,2,1,4,4,2,3,2,4,4,3,3,3,4,3,5,3,3,2,3,3,3,2,4,2,3,0
"2/12/18 21:44","2/12/18 21:51",0,NA,100,446,1,"2/12/18 21:51","R_1r7F0f4jD3jcPm4",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,43.51,43.51,46.457,1,"",6.389,142.577,144.107,21,13.367,130.83,132.534,21,8.681,117.433,118.629,21,NA,"sona",2,3,2,3,4,3,4,3,3,3,4,4,1,2,4,4,5,3,4,4,1,3,4,4,4,5,5,1,1,4,3,1,4,5,2,4,1,4,1,4,4,3,4,3,4,1,2,3,3,4,4,4,1,3,4,3,3,3,3,3,2,4,0
