"badChar","badClick","badDist","badScaleCheck","badMC","badTotal","participant"
0,0,0,1,0,1,"R_3qUuayE6b34VMvS"
1,0,1,1,0,3,"R_2UhzJI8Hp0z2zC2"
0,0,1,1,0,2,"R_2wuWQmlSOmuAlnb"
0,0,0,0,0,0,"R_0iwdChet2Vr5eMx"
0,0,1,1,0,2,"R_3iLs5XpUV3Ijdtm"
0,0,1,1,0,2,"R_1rc91hReNPsuh2W"
0,0,1,1,0,2,"R_1riAV6LMYeLdIQL"
0,0,0,1,0,1,"R_2uKfXM9g1Ga9cFs"
0,0,0,1,0,1,"R_1hA6bSZgk1qNZSm"
0,0,0,1,0,1,"R_1r7F0f4jD3jcPm4"
0,0,0,0,0,0,"R_3EzEAxjMSBviXsy"
1,0,0,1,0,2,"R_1hRpJyy5oGNu1mj"
0,0,0,0,0,0,"R_zYfh6KfP7WOwnER"
0,0,0,1,0,1,"R_3J3pAkU1E3JvZAD"
0,0,1,1,0,2,"R_2bUUeb8hZtmkSOo"
0,0,0,1,0,1,"R_UT0DrtLFWOilDeF"
0,0,0,1,0,1,"R_2mDWV6GANG5Oc5X"
0,0,1,1,0,2,"R_2rOWgrO7fJaCvwB"
0,0,0,1,0,1,"R_W6GCMhnRsCnHoK5"
0,0,0,1,0,1,"R_W2Ibrg4EuH3fpcZ"
0,0,0,1,0,1,"R_6y4IceOu0q5IT3r"
0,0,0,1,0,1,"R_OIlhZJ1MUtv1yPT"
0,0,0,1,1,2,"R_3n3gIsjXY35MzyQ"
0,0,1,1,0,2,"R_3fmHAwnP0cpA83n"
0,0,0,1,0,1,"R_3qldKLzR8rEUz58"
0,0,1,1,0,2,"R_5cg7YIPSDscISkh"
0,0,1,1,0,2,"R_12Kk6m92Qq2JXzU"
0,0,0,1,0,1,"R_24bXj3oMaunoUV8"
0,0,0,1,0,1,"R_2fqZR1CNlJS3Ygf"
0,0,0,1,0,1,"R_3Pnanbk2RXf8TUy"
0,0,0,1,0,1,"R_3R9Js1h9Bh3bSkf"
0,0,1,1,0,2,"R_3oMag9zHRWjcWwS"
1,0,0,1,0,2,"R_12omhXLxQDFcy8V"
0,0,0,1,1,2,"R_UndxVk8L6Twayxb"
1,0,0,1,0,2,"R_12nwYQWgY7AQhsN"
0,0,1,1,0,2,"R_XmKqaQCtETeHV9D"
0,0,0,1,0,1,"R_DrfiQVJkeYosDpn"
0,0,0,1,0,1,"R_3HwgRBbwOP8jhiY"
0,0,0,1,0,1,"R_3JzqeeGNFdH41CB"
0,0,0,1,1,2,"R_1rNZurXQqf0YJoZ"
0,0,0,1,0,1,"R_3qKGW3Xn8c49vJU"
0,0,0,1,0,1,"R_3s1j2XK5qkRxwHy"
0,0,1,1,0,2,"R_1QospU5rUTvujUK"
0,0,0,1,0,1,"R_6y4JfVwPXou2ys1"
0,0,1,1,1,3,"R_3lrHJ2sF1eqdI1W"
0,0,1,1,0,2,"R_ZJATYFjsydOPuXT"
0,0,0,1,0,1,"R_z6hO1aEa1ZaqFON"
0,0,1,1,0,2,"R_1liY2ayoKuvyWDj"
0,0,0,1,0,1,"R_1JWaPf4GhF6cxfX"
1,0,0,1,0,2,"R_2396xRK7jzbYIxH"
0,0,0,1,0,1,"R_1DuT25IMggcqimD"
0,0,0,1,0,1,"R_2bWD7BbEdKh1pLz"
0,0,0,1,0,1,"R_2BfAdCe4Y4FJvQf"
0,0,0,1,0,1,"R_zVJ5qbv5Np6feYp"
1,0,0,0,1,2,"R_2qfqUPYpzZVe46c"
0,0,0,1,0,1,"R_1mh0hPKH2V7mvW6"
0,0,0,1,0,1,"R_3OfBqahXqNrmBsB"
0,0,0,1,0,1,"R_1pljt8WWzQb08nO"
1,0,0,1,0,2,"R_2wix0Wznlh4lI4t"
0,0,0,1,0,1,"R_RxkN089CegyWe5z"
1,0,0,0,0,1,"R_3MbqtPr0B3gMFiO"
1,0,1,1,0,3,"R_p5C4csvTLHxkP17"
0,0,0,1,0,1,"R_u3q7axJ117Ul72h"
0,0,1,1,0,2,"R_1DBDSllmEoFpy5s"
0,0,1,1,0,2,"R_3sAq27rkUEJAwtq"
1,0,0,0,1,2,"R_1GwYgJRslFtsQMX"
1,0,0,0,1,2,"R_1eFU9mIziJ0DNa8"
1,0,0,1,0,2,"R_2YERMMENMvdYDBK"
0,0,0,0,1,1,"R_3EKZqc4dzLnHTn6"
1,0,0,1,0,2,"R_3gXTU678n2dpPTS"
0,0,0,1,0,1,"R_2Sc7Hq8j55cYOzL"
0,0,0,1,0,1,"R_1C9MJrdJHORYOhY"
0,0,1,1,0,2,"R_3NCDLFxA7BbwPqd"
0,0,1,1,0,2,"R_1KcI7v2E8NQ9t97"
0,0,1,0,0,1,"R_2WBvDAP1sIt1GLH"
0,0,0,1,0,1,"R_2wGHpbRjrZSwvbW"
0,0,0,0,0,0,"R_1hX1Fopqj8omc7U"
1,0,0,1,0,2,"R_12m4f01UDCn8n4e"
1,0,0,1,0,2,"R_10xyFdGKIYgDlS3"
0,0,0,1,0,1,"R_3Ra15TSS5DXQ1cS"
0,0,0,0,0,0,"R_1n6etIo3D2I1ZpG"
0,0,0,1,0,1,"R_2VlGidfbVCp04yx"
