"badChar","badClick","badDist","badScaleCheck","badMC","badTotal","participant"
1,0,1,1,0,3,"R_ywiR9kyh2DAS72p"
0,0,0,1,0,1,"R_e420RXKbG6Otz9L"
1,0,1,1,0,3,"R_9vRF0aijnyVwBlD"
0,0,0,1,0,1,"R_1dzUBlxVcjxTPQ0"
1,0,0,0,0,1,"R_2qecHD9t8RfXvIa"
1,0,0,1,0,2,"R_2TviMp9MBzhQiLQ"
1,0,0,0,0,1,"R_zd0IWvca7aEAQUx"
0,0,1,1,0,2,"R_eb109CaBxZN6cOl"
1,0,0,1,0,2,"R_Cm3xW8pmNXe4eeB"
0,0,1,1,0,2,"R_2OTNFC52xp00cCm"
0,0,1,1,0,2,"R_2w0GkMhmVpKOHUn"
0,1,0,1,0,2,"R_vUcwIwX2PLp8v73"
0,0,1,0,0,1,"R_uxgCouTyEmNxtvz"
1,1,0,0,0,2,"R_VIFlrPWFJT4fPc5"
1,1,1,1,1,5,"R_3F57rFZHD2WljoP"
0,0,0,1,0,1,"R_22RB00GNElrCcSD"
0,0,0,1,0,1,"R_3GAPHEsdxmPULai"
1,0,1,1,0,3,"R_3LdVBiLGSn3iUW2"
1,0,0,0,0,1,"R_1jCeRZoSV8M54B0"
1,1,0,0,0,2,"R_339LQFwCPEGKWmI"
1,0,0,0,0,1,"R_2CH8T3itAw8M1ND"
1,0,1,1,0,3,"R_1f6MVLsViM9hpwb"
1,0,0,1,0,2,"R_3p3AT9p3M7jagcQ"
0,0,0,0,0,0,"R_3LZTOALYj3rj8UE"
0,0,0,1,0,1,"R_D2UuGjMlNqdJYmR"
0,0,0,1,0,1,"R_xtkXFrd8RPH0vdL"
0,0,0,1,0,1,"R_BtczKn8HO3QaMcF"
1,0,1,0,0,2,"R_3EiP7qToWtEloJV"
1,0,1,1,0,3,"R_r2UB8zwFqkjLMGZ"
1,0,1,0,0,2,"R_2qlcpyFZ8QHpFUH"
0,0,1,1,0,2,"R_SPiqNcBKDKhkH5f"
0,0,0,0,0,0,"R_3k5tgsT6NzObKtb"
0,0,0,0,0,0,"R_1MQI84oqcikIDWV"
0,0,0,1,0,1,"R_1JOUB6NlVg3ZwN2"
0,0,1,1,0,2,"R_2e3cuPX9oDs3RCx"
0,0,1,1,0,2,"R_1I3E4CrtUw6r3rt"
0,0,0,1,0,1,"R_yND2wCrbLXXTOEh"
0,0,0,0,0,0,"R_2fvou4VLDREQkh7"
0,0,0,0,1,1,"R_23TsAS2fGjOshC9"
1,0,0,0,0,1,"R_1OJKnxEalkYJ0eK"
0,0,1,1,0,2,"R_1qe748wpdnJJtvy"
0,0,1,1,0,2,"R_DpLdDA0WpJTr4pb"
1,0,0,1,0,2,"R_2zUB1j5PPaaXZ7I"
1,0,0,1,0,2,"R_2Vm3fQtG8xnAgFa"
1,0,0,1,0,2,"R_2OMRfeHEyKlpFh3"
1,0,0,1,0,2,"R_1K9ZqwbCU6XoRLr"
1,0,0,0,0,1,"R_2PbSwWwr1OxpLOY"
0,0,0,1,0,1,"R_2SkrJsYvH2UgpmA"
0,0,1,1,0,2,"R_3QDdXQPaBEZzIBB"
0,0,1,0,0,1,"R_2TsBOOQe4L8SMwy"
1,0,0,1,0,2,"R_qRBt70dQv2UzuRH"
1,0,0,0,0,1,"R_1QbDo0EDEdPf6n5"
1,0,1,1,0,3,"R_WiYGS5sd0xtgOop"
1,0,1,1,0,3,"R_2wdjxLB7uxKOVmW"
0,0,1,1,0,2,"R_ai0x0jYfcb0RvXz"
0,0,0,1,0,1,"R_4JGMQUWsJpgrlQJ"
0,0,1,1,0,2,"R_3PZzW7H9sguldrb"
0,0,0,0,0,0,"R_73QlplIdef68Qud"
0,0,0,1,0,1,"R_tSN94vv4nMhU0KJ"
1,0,1,1,0,3,"R_11WSPpUoAvFUODt"
1,0,1,1,0,3,"R_23ZAHkCX8tCW29d"
0,0,1,1,0,2,"R_3RfkrCjj2RnMmON"
1,0,1,1,0,3,"R_z0WPOhvZOmMyNCV"
0,0,0,1,1,2,"R_2pQNcZhGahHzC0i"
0,0,1,1,0,2,"R_3rbyTyKNlCweToB"
0,0,0,0,0,0,"R_2YKBrNu1ifuxm3A"
1,0,0,1,0,2,"R_Pv5UW6IgiYpgJvr"
1,0,0,1,0,2,"R_Cf3ikQAh2GIw3MR"
1,0,0,0,0,1,"R_3ERKajP3Gaisjbn"
0,0,0,1,0,1,"R_AGa0brMFhHXaGkx"
1,0,1,1,0,3,"R_1Iz3pAooNqg0GE0"
0,0,0,0,0,0,"R_2bNsuoGMKG3YvT3"
0,0,1,1,0,2,"R_2ZOodjEKEFNqpO2"
0,0,0,1,0,1,"R_vNY955l3Ld9uqnD"
1,0,0,1,1,3,"R_1jjmlGT4oEzajLJ"
1,0,0,0,0,1,"R_qx36FPLLQqYDHRn"
1,0,0,0,0,1,"R_Ti9dc5uRZwRK6rv"
0,0,1,1,0,2,"R_1IL6TP7r9OcVsfF"
0,0,1,1,0,2,"R_1Isip39EPBAlUYv"
0,0,0,1,0,1,"R_3emZO4kibwj6eVC"
1,0,0,0,0,1,"R_2tEGd5qgOMlLFns"
0,0,0,1,0,1,"R_30cxqEgOWQIq7Un"
0,0,0,1,0,1,"R_2OJ5f4FCv7RJYo1"
1,0,0,1,1,3,"R_1MlPNUKCUmh0ZFL"
1,0,0,0,0,1,"R_2aqSzz5NEcDk7n3"
0,0,1,1,0,2,"R_26hSsWTOniniFIf"
1,0,0,0,0,1,"R_22Xrfttv6VxnxIl"
0,0,1,1,0,2,"R_2dpf4fgG7jKeqGd"
1,0,0,0,0,1,"R_BLqj9TpwP9JEkRb"
1,0,1,1,0,3,"R_31L4YwGvQhoqHNW"
0,0,0,1,0,1,"R_2RQFy9JxMfUV4Ku"
1,0,0,0,0,1,"R_vVN4P1h0SuJAfUB"
0,0,0,1,0,1,"R_3HLW9dLQPtpRQbo"
1,0,0,0,0,1,"R_2v6UjxdR9Fy6DHt"
0,0,0,0,0,0,"R_1C3mIFR8NUsc5MR"
0,0,1,1,0,2,"R_2zCRRDIENYfoqbA"
0,0,0,1,0,1,"R_2uxlaKrP419XpkB"
0,0,0,1,0,1,"R_33DeJHlAoGEPjVX"
1,0,0,1,0,2,"R_1H8qufpJ9pL783l"
1,0,0,1,0,2,"R_1jP2S9iEBlWjqcK"
0,0,0,1,0,1,"R_1qVv7vKXiIUznEO"
1,0,0,1,0,2,"R_1DYnIMyyrhAYojA"
1,0,1,0,0,2,"R_WdKaEYN2QMePjQR"
1,0,0,1,0,2,"R_1LTnNeTLunCQzpf"
0,0,0,0,0,0,"R_1rJLnX2lJnkYZKg"
0,0,0,1,0,1,"R_1CdUJ23IZoaJwRu"
0,0,0,1,0,1,"R_scDlUf0JAkvUX5f"
0,0,0,1,0,1,"R_ZyGx33TJerwwvhD"
1,0,0,1,0,2,"R_1hASEN15HojqDcr"
1,0,0,1,0,2,"R_BFm30B9QhHgHLtn"
1,0,0,0,0,1,"R_1OlRUGZOnUHlMy7"
1,0,1,1,0,3,"R_3s1Fmx6lRmY5lkV"
0,0,0,1,0,1,"R_2TWZ5ZsUfkZB6z7"
0,0,0,1,0,1,"R_STVgQxOX4hrNzdD"
0,0,0,1,0,1,"R_3fQ2V5JF63BfQr2"
1,1,1,1,0,4,"R_2ScaIAVItSanFMU"
0,0,0,0,0,0,"R_22Gpd6SnKNahywN"
0,0,0,1,0,1,"R_1LjmxSiylAYAD8W"
1,0,0,1,1,3,"R_1CelC61AynpTN9U"
0,0,0,1,0,1,"R_1l6lep99UnUOdBX"
0,0,0,1,0,1,"R_XZngkgeQGS3rxEl"
0,0,0,0,0,0,"R_1eKtDYKM7jrVJuw"
0,0,0,1,0,1,"R_3RsAecaVkqgtD7K"
0,0,1,1,0,2,"R_31YNs5CeTI3snE6"
1,1,0,1,0,3,"R_uqpzccvuLakeZ0t"
1,0,1,1,0,3,"R_2tDsD5HtmjM7fda"
1,0,1,0,0,2,"R_0OnMzkJXcjf8YM1"
1,0,1,1,0,3,"R_27jMXCiIUnzQR4K"
1,0,0,1,0,2,"R_332y7Nb0b8RBG0H"
0,0,0,1,1,2,"R_1LOnQySERJd5zOK"
0,0,1,0,0,1,"R_3eysDpYM69YnpSt"
0,0,0,1,0,1,"R_1plZUe7UkV3iyAR"
1,0,1,1,0,3,"R_9HbY1Rrx19ccQzn"
0,1,1,1,0,3,"R_2z5zB3WUhXAeZM3"
0,0,0,0,0,0,"R_1KeCoxBj9sj9irj"
0,0,1,1,0,2,"R_1H5HqcuhNiXUDBA"
0,0,0,1,0,1,"R_3CVj59Un01Cyyv9"
1,0,0,0,0,1,"R_1lccgbUmzuEcmS6"
1,1,0,0,0,2,"R_vdkZCvbb5lw12hz"
1,0,0,0,0,1,"R_3O2ZpBHh9brdHIq"
0,0,0,1,0,1,"R_1H6So1DQylvTz7b"
0,0,0,1,0,1,"R_3HM5mibjpSZFBJb"
1,0,0,1,0,2,"R_2pQVEUmNnQTBg53"
1,0,0,1,0,2,"R_12R5EQc56T5pmC3"
0,0,1,1,0,2,"R_1gLW4As5FB9NLeg"
0,0,0,1,0,1,"R_1pKH8Y1gO6Xrmm3"
0,0,0,0,0,0,"R_0H7BGdeiLc7nkcN"
1,0,0,0,0,1,"R_10Sj0ID1jAJ3K13"
0,0,0,1,0,1,"R_4PE4Fjwijrab7j3"
0,0,1,1,0,2,"R_10CY1sGk2GpppQX"
1,0,1,1,0,3,"R_3kLZXm2KuSazoLZ"
1,0,0,1,0,2,"R_2zGBSwOjhvxvYAH"
1,0,0,1,0,2,"R_2c2i8noKkafRi9R"
0,0,1,1,0,2,"R_b78jQJaESK46txv"
1,0,1,1,0,3,"R_2mc4aKtBA38BjHP"
0,0,1,1,0,2,"R_ZCxF8dCxRrbWpMt"
0,0,1,1,0,2,"R_bNJ4Yv3lOvAy641"
1,0,0,1,0,2,"R_40dBojEQkX8aXf3"
1,0,0,0,0,1,"R_3iUdFoXtUZiS1Bu"
1,0,1,1,0,3,"R_1OIupV69PCuZUSt"
0,0,1,1,0,2,"R_ywNScTYCSxngljz"
0,1,0,1,0,2,"R_RkLQ1n8jKdWEvcZ"
0,0,0,1,0,1,"R_urYIIuvWywBLIOZ"
1,0,0,1,0,2,"R_2fpuNZmGbBIilV7"
0,0,0,1,0,1,"R_2fiYLcn089Nhkyy"
1,0,0,0,0,1,"R_1dajte5iZ9tkzLG"
0,0,0,1,0,1,"R_1DTEwH5bPZvoZcM"
0,0,1,1,0,2,"R_2wda2vrZPyVvben"
0,0,1,1,0,2,"R_1je4EswO2BwMynE"
1,0,0,1,0,2,"R_AsuyBp3P6jedGQ9"
1,0,1,1,0,3,"R_C9tsLIuRGXumAJr"
0,1,0,1,0,2,"R_2zItxBeyDgnsflO"
1,0,0,1,0,2,"R_3EvdVgvXQVWQA70"
1,0,0,0,0,1,"R_82kH1tTKmW4w4V3"
0,0,1,1,0,2,"R_2q93XcibeXcbdiY"
1,1,0,0,0,2,"R_1ds6chLhGyLirsJ"
1,0,1,1,0,3,"R_3Jqjei3FIDJ2pkU"
1,0,1,1,0,3,"R_1LIPLWBh3ZZNjKF"
1,0,1,1,0,3,"R_2AG9ZqwkDXFv6Kj"
0,0,0,1,0,1,"R_3fPloyZposz68Bg"
0,0,0,1,0,1,"R_b94OCEE9xDroVUt"
0,0,0,1,0,1,"R_3kjwxRWMXrnBH4l"
1,0,1,0,0,2,"R_8JrbJgr4oZB96IV"
0,0,0,1,0,1,"R_Z7SoysVOXzVyXiV"
1,0,0,1,0,2,"R_CawftA7wnjcYOm5"
0,0,1,1,0,2,"R_2yscqDTjMpY4JGS"
0,0,0,1,0,1,"R_2V1S6VaYP79MJlq"
1,0,0,0,0,1,"R_V3eZlldHYhfRx4Z"
1,0,0,0,0,1,"R_3Hp4ex5rdWmNKD7"
1,0,0,0,0,1,"R_4Pl30hNsvLWuVot"
0,0,0,1,0,1,"R_sZ5yyZEcfxkAGJj"
0,0,1,1,0,2,"R_1i3xKnXSrprj8qQ"
1,0,0,1,0,2,"R_CdxvC2YVjOLo1Wx"
0,0,1,1,0,2,"R_Qg1UeRM3XEVu1uV"
1,1,0,0,0,2,"R_3gSLg0gJtyAcc4X"
0,0,1,0,0,1,"R_1nZAdl03mJURbJD"
1,0,1,1,0,3,"R_2Yu1R8hA85mFUbZ"
0,0,0,1,0,1,"R_22JhSvjoETVeoyp"
1,0,1,1,0,3,"R_25thMwAzpCykrDH"
0,0,1,1,0,2,"R_2nJ7yxy5zi2vU1r"
1,1,1,1,0,4,"R_2qsY66kw3tIU10I"
0,0,0,1,0,1,"R_2aIw7GNw0thbWoR"
0,0,0,1,0,1,"R_bIBcxpLuhsFjqlH"
0,0,0,1,0,1,"R_1Fg3GdOHUVDATQI"
1,0,0,1,0,2,"R_2AGNurnI1i2XBnA"
1,0,0,0,1,2,"R_1JPBVR0xJoM0CgE"
0,0,0,1,0,1,"R_Zw8uKbvC102SNc5"
0,0,1,0,0,1,"R_1ponLlbIsNiPf1j"
0,0,1,1,0,2,"R_1Cm8IBqMPAdYlok"
0,0,0,1,0,1,"R_2PtVj4OL2SMuw7V"
0,0,0,0,0,0,"R_37ScsFmA3Wp8A01"
1,0,0,1,0,2,"R_DAyhiet1E8yGOGt"
1,0,0,0,0,1,"R_AmwvimoHhngUnRf"
1,0,0,1,0,2,"R_1BPEygTYr5H7S7t"
0,0,1,1,0,2,"R_Ti679U1eHbmwNod"
1,0,0,1,0,2,"R_3iyfTYCp58E8uyE"
1,0,0,0,0,1,"R_24vFpmR40ytiepP"
