,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,Q2_18,Q2_19,Q2_20,Q2_21,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q5_17,Q5_18,Q5_19,Q5_20,where
11,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,5.0,sona
12,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,5.0,3.0,5.0,1.0,4.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,sona
13,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,1.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,1.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,sona
14,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,sona
15,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,5.0,5.0,1.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,sona
16,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,1.0,4.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,sona
17,2.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,sona
18,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,1.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,1.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,5.0,3.0,3.0,4.0,1.0,5.0,5.0,sona
19,4.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,sona
20,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,sona
21,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,sona
22,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,1.0,5.0,5.0,5.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0,2.0,5.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,sona
23,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,3.0,sona
24,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,4.0,5.0,1.0,2.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,3.0,1.0,5.0,5.0,4.0,5.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,1.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,sona
25,2.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,sona
26,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,5.0,4.0,5.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,1.0,sona
27,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,sona
28,4.0,3.0,2.0,3.0,4.0,3.0,5.0,5.0,5.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,5.0,1.0,5.0,5.0,4.0,3.0,3.0,5.0,1.0,3.0,3.0,2.0,1.0,5.0,4.0,3.0,4.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,5.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,3.0,5.0,3.0,5.0,3.0,3.0,2.0,sona
29,5.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,1.0,4.0,5.0,1.0,3.0,3.0,2.0,5.0,5.0,4.0,4.0,1.0,4.0,4.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0,5.0,4.0,5.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,5.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,sona
30,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,3.0,4.0,3.0,1.0,5.0,2.0,5.0,4.0,3.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,4.0,3.0,5.0,5.0,1.0,1.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,1.0,sona
31,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,4.0,1.0,5.0,1.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0,sona
32,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,5.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,1.0,sona
33,1.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,1.0,4.0,sona
34,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0,5.0,4.0,4.0,5.0,2.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,sona
35,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,sona
36,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,sona
37,4.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,5.0,1.0,1.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,sona
38,4.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,4.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,4.0,5.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,4.0,5.0,5.0,3.0,5.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,5.0,4.0,3.0,4.0,1.0,4.0,1.0,3.0,5.0,4.0,3.0,1.0,3.0,2.0,4.0,sona
39,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,1.0,4.0,3.0,4.0,3.0,2.0,5.0,1.0,3.0,4.0,3.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,sona
40,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,1.0,5.0,3.0,4.0,3.0,5.0,5.0,2.0,1.0,4.0,4.0,1.0,4.0,4.0,2.0,5.0,5.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,3.0,5.0,4.0,5.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,4.0,sona
41,1.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,5.0,1.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,5.0,4.0,2.0,4.0,1.0,5.0,4.0,4.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,sona
42,2.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,5.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,3.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,sona
43,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,5.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,sona
44,3.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,5.0,sona
45,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,2.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,2.0,2.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,sona
46,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,1.0,5.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,4.0,5.0,3.0,4.0,1.0,5.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,sona
47,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0,1.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,sona
48,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,sona
49,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,sona
50,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,sona
51,3.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,3.0,2.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,5.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,5.0,2.0,5.0,sona
52,1.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,2.0,5.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,5.0,sona
53,2.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,4.0,5.0,4.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0,2.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,5.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0,1.0,sona
